The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Prestige | Christopher Nolan | drama, misterio, sci-fi | Christian Bale, Hugh Jackman | 2006
Gladiator | Ridley Scott | accion, aventura, drama | Russell Crowe, Joaquin Phoenix | 2000
Interstellar | Christopher Nolan | aventura, drama, sci-fi | Matthew McConaughey, Anne Hathaway | 2014
The Departed | Martin Scorsese | crimen, drama, thriller | Leonardo DiCaprio, Matt Damon | 2006
Whiplash | Damien Chazelle | drama, musica | Miles Teller, J.K. Simmons | 2014
The Dark Knight Rises | Christopher Nolan | accion, aventura, drama | Christian Bale, Tom Hardy | 2012
Avatar | James Cameron | accion, aventura, sci-fi | Sam Worthington, Zoe Saldana | 2009
The Social Network | David Fincher | biografia, drama | Jesse Eisenberg, Andrew Garfield | 2010
Se7en | David Fincher | crimen, drama, misterio | Brad Pitt, Morgan Freeman | 1995
The Shining | Stanley Kubrick | horror, misterio | Jack Nicholson, Shelley Duvall | 1980
The Green Mile | Frank Darabont | crimen, drama, fantasia | Tom Hanks, Michael Clarke Duncan | 1999
The Great Dictator | Charlie Chaplin | comedia, drama, guerra | Charlie Chaplin, Paulette Goddard | 1940
12 Angry Men | Sidney Lumet | drama | Henry Fonda, Lee J. Cobb | 1957
The Wizard of Oz | Victor Fleming | aventura, familiar, fantasia | Judy Garland, Frank Morgan | 1939
Inglourious Basterds | Quentin Tarantino | aventura, drama, guerra | Brad Pitt, Christoph Waltz | 2009
Schindler's List | Steven Spielberg | biografia, drama, historia | Liam Neeson, Ben Kingsley | 1993
The Grand Budapest Hotel | Wes Anderson | aventura, comedia, drama | Ralph Fiennes, F. Murray Abraham | 2014
The Revenant | Alejandro González Iñárritu | aventura, drama, thriller | Leonardo DiCaprio, Tom Hardy | 2015
The Breakfast Club | John Hughes | comedia, drama | Emilio Estevez, Molly Ringwald | 1985
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
Good Will Hunting | Gus Van Sant | drama, romance | Matt Damon, Robin Williams | 1997
A Clockwork Orange | Stanley Kubrick | crimen, drama, sci-fi | Malcolm McDowell, Patrick Magee | 1971
The Terminator | James Cameron | accion, sci-fi | Arnold Schwarzenegger, Linda Hamilton | 1984
Jaws | Steven Spielberg | aventura, drama, thriller | Roy Scheider, Robert Shaw | 1975
The Godfather Part III | Francis Ford Coppola | crimen, drama | Al Pacino, Diane Keaton | 1990
The Hunt | Thomas Vinterberg | drama, thriller | Mads Mikkelsen, Thomas Bo Larsen | 2012
The Secret Life of Walter Mitty | Ben Stiller | aventura, comedia, drama | Ben Stiller, Kristen Wiig | 2013
The Intouchables | Olivier Nakache, Éric Toledano | biografia, comedia, drama | François Cluzet, Omar Sy | 2011
A Beautiful Mind | Ron Howard | biografia, drama | Russell Crowe, Jennifer Connelly | 2001
The Truman Show | Peter Weir | comedia, drama, sci-fi | Jim Carrey, Ed Harris | 1998
There Will Be Blood | Paul Thomas Anderson | drama | Daniel Day-Lewis, Paul Dano | 2007
The Fighter | David O. Russell | biografia, drama, deporte | Mark Wahlberg, Christian Bale | 2010
The Pianist | Roman Polanski | biografia, drama, musica | Adrien Brody, Thomas Kretschmann | 2002
The Big Lebowski | Joel Coen, Ethan Coen | comedia, crimen | Jeff Bridges, John Goodman | 1998
The Lord of the Rings: The Fellowship of the Ring | Peter Jackson | aventura, drama, fantasia | Elijah Wood, Ian McKellen | 2001
The Sixth Sense | M. Night Shyamalan | drama, misterio, thriller | Bruce Willis, Haley Joel Osment | 1999
Moonlight | Barry Jenkins | drama | Mahershala Ali, Naomie Harris | 2016
La La Land | Damien Chazelle | comedia, drama, musica | Ryan Gosling, Emma Stone | 2016
The Prestige | Christopher Nolan | drama, misterio, sci-fi | Christian Bale, Hugh Jackman | 2006
The Big Short | Adam McKay | biografia, comedia, drama | Christian Bale, Steve Carell | 2015
Parasite | Bong Joon-ho | comedia, drama, thriller | Song Kang-ho, Lee Sun-kyun | 2019
The Wolf of Wall Street | Martin Scorsese | biografia, comedia, crimen | Leonardo DiCaprio, Jonah Hill | 2013
Django Unchained | Quentin Tarantino | drama, western | Jamie Foxx, Christoph Waltz | 2012
The Prestige | Christopher Nolan | drama, misterio, sci-fi | Christian Bale, Hugh Jackman | 2006
Gladiator | Ridley Scott | accion, aventura, drama | Russell Crowe, Joaquin Phoenix | 2000
Interstellar | Christopher Nolan | aventura, drama, sci-fi | Matthew McConaughey, Anne Hathaway | 2014
The Departed | Martin Scorsese | crimen, drama, thriller | Leonardo DiCaprio, Matt Damon | 2006
Whiplash | Damien Chazelle | drama, musica | Miles Teller, J.K. Simmons | 2014
The Dark Knight Rises | Christopher Nolan | accion, aventura, drama | Christian Bale, Tom Hardy | 2012
Avatar | James Cameron | accion, aventura, sci-fi | Sam Worthington, Zoe Saldana | 2009
The Social Network | David Fincher | biografia, drama | Jesse Eisenberg, Andrew Garfield | 2010
Se7en | David Fincher | crimen, drama, misterio | Brad Pitt, Morgan Freeman | 1995
The Shining | Stanley Kubrick | horror, misterio | Jack Nicholson, Shelley Duvall | 1980
The Green Mile | Frank Darabont | crimen, drama, fantasia | Tom Hanks, Michael Clarke Duncan | 1999
The Great Dictator | Charlie Chaplin | comedia, drama, guerra | Charlie Chaplin, Paulette Goddard | 1940
12 Angry Men | Sidney Lumet | drama | Henry Fonda, Lee J. Cobb | 1957
The Wizard of Oz | Victor Fleming | aventura, familiar, fantasia | Judy Garland, Frank Morgan | 1939
Inglourious Basterds | Quentin Tarantino | aventura, drama, guerra | Brad Pitt, Christoph Waltz | 2009
Schindler's List | Steven Spielberg | biografia, drama, historia | Liam Neeson, Ben Kingsley | 1993
The Grand Budapest Hotel | Wes Anderson | aventura, comedia, drama | Ralph Fiennes, F. Murray Abraham | 2014
The Revenant | Alejandro González Iñárritu | aventura, drama, thriller | Leonardo DiCaprio, Tom Hardy | 2015
The Breakfast Club | John Hughes | comedia, drama | Emilio Estevez, Molly Ringwald | 1985
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
Good Will Hunting | Gus Van Sant | drama, romance | Matt Damon, Robin Williams | 1997
A Clockwork Orange | Stanley Kubrick | crimen, drama, sci-fi | Malcolm McDowell, Patrick Magee | 1971
The Terminator | James Cameron | accion, sci-fi | Arnold Schwarzenegger, Linda Hamilton | 1984
Jaws | Steven Spielberg | aventura, drama, thriller | Roy Scheider, Robert Shaw | 1975
The Godfather Part III | Francis Ford Coppola | crimen, drama | Al Pacino, Diane Keaton | 1990
The Hunt | Thomas Vinterberg | drama, thriller | Mads Mikkelsen, Thomas Bo Larsen | 2012
The Secret Life of Walter Mitty | Ben Stiller | aventura, comedia, drama | Ben Stiller, Kristen Wiig | 2013
The Intouchables | Olivier Nakache, Éric Toledano | biografia, comedia, drama | François Cluzet, Omar Sy | 2011
A Beautiful Mind | Ron Howard | biografia, drama | Russell Crowe, Jennifer Connelly | 2001
The Truman Show | Peter Weir | comedia, drama, sci-fi | Jim Carrey, Ed Harris | 1998
There Will Be Blood | Paul Thomas Anderson | drama | Daniel Day-Lewis, Paul Dano | 2007
The Fighter | David O. Russell | biografia, drama, deporte | Mark Wahlberg, Christian Bale | 2010
The Pianist | Roman Polanski | biografia, drama, musica | Adrien Brody, Thomas Kretschmann | 2002
The Big Lebowski | Joel Coen, Ethan Coen | comedia, crimen | Jeff Bridges, John Goodman | 1998
The Lord of the Rings: The Fellowship of the Ring | Peter Jackson | aventura, drama, fantasia | Elijah Wood, Ian McKellen | 2001
The Sixth Sense | M. Night Shyamalan | drama, misterio, thriller | Bruce Willis, Haley Joel Osment | 1999
Moonlight | Barry Jenkins | drama | Mahershala Ali, Naomie Harris | 2016
La La Land | Damien Chazelle | comedia, drama, musica | Ryan Gosling, Emma Stone | 2016
The Prestige | Christopher Nolan | drama, misterio, sci-fi | Christian Bale, Hugh Jackman | 2006
The Big Short | Adam McKay | biografia, comedia, drama | Christian Bale, Steve Carell | 2015
Parasite | Bong Joon-ho | comedia, drama, thriller | Song Kang-ho, Lee Sun-kyun | 2019
The Wolf of Wall Street | Martin Scorsese | biografia, comedia, crimen | Leonardo DiCaprio, Jonah Hill | 2013
Django Unchained | Quentin Tarantino | drama, western | Jamie Foxx, Christoph Waltz | 2012
The Prestige | Christopher Nolan | drama, misterio, sci-fi | Christian Bale, Hugh Jackman | 2006
